true,pred,std,residual
0.6256208,0.53181887,0.08080921,0.093801916
-0.01662364,0.027422234,0.053063747,-0.044045873
-0.6578112,-0.23329678,0.102464035,-0.42451444
0.6473904,0.66752255,0.14323132,-0.020132124
-0.41403395,-0.5805187,0.13812701,0.16648477
-0.028318595,-0.021141155,0.06975932,-0.0071774404
-0.05009772,0.0043099327,0.057697907,-0.054407652
-0.19645563,-0.36808357,0.1103564,0.17162794
-0.42084563,-0.49421558,0.18222426,0.07336995
0.31072804,0.24218877,0.15100202,0.06853928
-1.62772,-0.7103921,0.23868123,-0.9173279
-0.9954266,-0.6439466,0.13696125,-0.35148
0.83891284,0.7656933,0.1438658,0.07321954
0.287535,0.7840139,0.21318455,-0.49647892
-0.4429192,-0.22285463,0.09566922,-0.22006457
0.048190504,0.32372633,0.10163058,-0.27553582
0.9714272,1.2187147,0.13963419,-0.24728751
-0.5344411,-0.50726676,0.098010704,-0.027174354
-0.11067476,0.14152291,0.075746246,-0.25219768
-0.010898891,0.10561302,0.08166941,-0.11651191
2.7208567,2.720835,0.26060876,2.169609e-05
0.18275242,0.07185045,0.09612286,0.11090197
0.23362738,0.16267194,0.05480226,0.07095544
-2.3339522,-1.9980811,0.25343782,-0.3358711
0.020166948,-0.2060435,0.08072359,0.22621045
-0.8040175,-0.84130085,0.20229647,0.03728336
0.51371276,0.44893414,0.07733341,0.064778626
-0.09172475,0.1978157,0.091020055,-0.28954047
0.34126046,0.3142086,0.095087714,0.027051866
0.29806125,0.052118614,0.08497756,0.24594264
0.086883955,0.09330467,0.08904818,-0.0064207166
0.42815265,0.2022043,0.06282406,0.22594835
-1.9027401,-1.1125139,0.28575894,-0.7902262
0.1567207,0.019794801,0.07966831,0.13692589
-1.7372195,-1.8644881,0.21347186,0.12726867
-0.35982144,0.089853704,0.092609994,-0.44967514
0.11628803,-0.0852843,0.060781933,0.20157233
0.78328645,0.70262057,0.1436761,0.08066589
-0.92800236,-0.5570839,0.09528638,-0.37091845
0.4482223,0.30773434,0.13871542,0.14048797
-0.27046505,-0.5320735,0.108745836,0.26160845
0.36675212,0.30338863,0.089617305,0.06336349
-0.43179816,-0.25216275,0.14429402,-0.1796354
0.6555355,0.45616663,0.10643338,0.1993689
0.8868376,0.9754586,0.107483536,-0.08862102
-0.42200023,0.048390124,0.15604852,-0.47039035
0.5731436,0.4385529,0.06428819,0.13459072
-1.1989256,-1.1802939,0.21108063,-0.018631697
0.2776904,0.20306195,0.060718,0.07462846
0.0027825274,-1.1230536,0.48360607,1.1258361
-0.531995,-0.42786875,0.21429706,-0.104126245
-0.44814613,-0.44544503,0.08693131,-0.0027011037
-0.35174105,-0.12903616,0.104701914,-0.22270489
0.8803991,0.82813865,0.091521196,0.05226046
-0.8120921,-0.38093883,0.13574898,-0.4311533
0.15741734,-0.042142402,0.15989055,0.19955975
-0.0049347896,-0.2359736,0.09987465,0.23103881
0.7028887,0.61819893,0.086390376,0.084689796
-0.25692806,-0.19520232,0.16355763,-0.061725736
0.020873956,-0.14706166,0.1414654,0.16793561
-0.9975125,-0.56187606,0.12620352,-0.43563646
-0.20876893,-0.896238,0.16618463,0.6874691
-0.3883498,-0.06262008,0.05689194,-0.32572973
-0.12613109,-0.05861167,0.081311285,-0.06751942
0.06955687,0.049648337,0.06776523,0.019908533
-0.035065975,0.08129488,0.05101621,-0.11636086
0.020817015,0.13140444,0.0767401,-0.11058743
-0.062003504,-0.055604752,0.0636131,-0.0063987523
-0.48168463,-0.9511055,0.13912384,0.46942085
0.43343005,0.40345353,0.07214675,0.029976517
-1.7275913,-1.2071141,0.16785775,-0.5204772
-0.41387266,-0.5251825,0.12488511,0.11130983
0.3179649,0.35204116,0.06987809,-0.034076244
1.236961,1.4549253,0.15908428,-0.21796429
-0.20966494,-0.41622978,0.13445812,0.20656484
-1.3086749,-1.2276396,0.17810863,-0.081035376
0.34022212,0.26204324,0.074071765,0.07817888
-0.051957875,-0.027431676,0.047830928,-0.0245262
0.06718036,0.1150197,0.15573685,-0.047839344
0.044603802,0.09490113,0.10828978,-0.050297327
0.92479974,0.7132549,0.11415867,0.21154481
0.8941476,0.93855983,0.116172336,-0.044412255
-0.9889988,-0.6187136,0.11766101,-0.37028515
-0.73590887,-0.44683507,0.13916041,-0.2890738
0.13088511,0.22748813,0.11405899,-0.09660302
-0.48837054,0.057467725,0.09587873,-0.54583824
0.04008066,0.012710929,0.06742621,0.02736973
0.1673751,0.18242255,0.07025381,-0.015047446
1.3292134,1.2494595,0.15011412,0.079753876
0.098796956,0.09009179,0.10981501,0.008705169
-0.15773016,-0.0731662,0.08543102,-0.08456396
0.8924477,1.0312582,0.17101747,-0.13881052
0.08824706,0.13902588,0.06504612,-0.05077882
-0.12748156,-0.05996993,0.065587126,-0.06751163
0.19622563,0.16401887,0.066568255,0.03220676
0.3345699,0.2527026,0.05933226,0.08186731
0.56573004,0.37788185,0.10850857,0.18784818
-0.3184589,-0.0916523,0.10672299,-0.22680661
0.38765892,0.34545645,0.05909726,0.042202473
-0.08226283,-0.10695588,0.100046396,0.02469305
-1.3266041,-0.7662351,0.1266828,-0.560369
-0.83096725,-1.3342499,0.2387579,0.5032826
-0.54199827,-0.550094,0.1192313,0.008095741
0.026265763,0.17266975,0.05826901,-0.146404
0.58062255,0.5780477,0.089528345,0.002574861
-0.22442885,-0.1155184,0.07531415,-0.10891045
0.13712093,0.15506558,0.07137641,-0.017944649
-2.429584,-2.4818475,0.2901638,0.0522635
-0.18370733,-0.104050525,0.08422932,-0.0796568
0.0282504,-0.1168501,0.15822242,0.1451005
-0.41372654,-0.10502324,0.10143026,-0.3087033
0.7300631,0.69011104,0.09668386,0.03995204
0.44780263,0.8578973,0.45810738,-0.41009465
0.34371248,0.3767667,0.1776478,-0.033054233
1.2247412,1.0903316,0.1274925,0.13440967
-0.7366185,-0.46695712,0.114298664,-0.2696614
0.077285364,-0.016348606,0.08149002,0.09363397
-0.39396638,0.05908649,0.14271063,-0.45305288
-0.8875928,-0.6968791,0.10919005,-0.1907137
-0.043504883,0.15485603,0.06855026,-0.1983609
-0.41350713,-0.19622652,0.105910905,-0.21728061
0.43061203,0.29112402,0.06327255,0.13948801
0.0031780724,-0.044145696,0.08754054,0.047323767
1.0121945,0.90669054,0.14193861,0.10550398
-0.09864594,-0.12519316,0.098559126,0.026547223
-0.83511615,-0.7225237,0.19670452,-0.11259246
-0.5604177,-0.36980608,0.11162392,-0.19061163
0.2717244,0.22990388,0.07631642,0.041820526
-1.5939863,-1.4051597,0.18434691,-0.18882656
-0.3628519,0.023839291,0.08943862,-0.38669118
0.09025712,-0.025943294,0.14553197,0.11620042
-0.31624573,-0.34358785,0.087859735,0.02734211
0.3820382,0.285523,0.069561735,0.09651521
-0.5431925,-0.60686755,0.13647014,0.063675046
-0.36764568,-0.5365063,0.101663545,0.16886061
-0.24938224,-0.18390384,0.0620018,-0.0654784
0.2818366,0.34753233,0.10577701,-0.06569573
-0.06817755,-0.29250157,0.122565046,0.22432402
-0.18791348,-0.18380725,0.09181867,-0.0041062236
0.7728113,0.8106262,0.11842401,-0.037814915
0.37353188,0.20809335,0.07952035,0.16543853
-1.5265096,-1.6496089,0.40239507,0.12309921
-0.41558412,-0.22627345,0.09832303,-0.18931067
0.32195747,0.3346532,0.09953841,-0.01269573
-1.0943841,-1.7325186,0.2865692,0.6381345
0.5333333,0.38961467,0.08527919,0.14371863
0.13623102,-0.051138427,0.06969874,0.18736945
-0.02786688,0.082261235,0.05479483,-0.11012811
0.28402653,0.10183787,0.062491145,0.18218866
0.19752212,0.06167621,0.09379281,0.1358459
0.75560224,0.6816194,0.123739935,0.073982835
0.09511525,0.42857584,0.17320518,-0.3334606
0.27861074,0.08329889,0.113794684,0.19531184
0.11283739,0.037134357,0.080250986,0.07570303
0.16315661,0.11783289,0.07030711,0.045323722
0.15701014,0.14608422,0.12695515,0.010925919
0.53687936,-0.09684846,0.18665244,0.6337278
-0.4428474,-0.066908896,0.06486806,-0.3759385
-0.8445756,-0.79438114,0.15781961,-0.050194442
0.66676825,0.46208107,0.15632111,0.20468718
-0.15512313,-0.1602477,0.0591809,0.005124569
0.23551299,0.36517042,0.107393704,-0.12965743
0.1473411,0.054335754,0.08717754,0.093005344
-0.53704876,-0.36455283,0.10195055,-0.17249593
-2.8947463,-2.0436926,0.2837029,-0.8510537
0.0012590854,0.08991586,0.057104222,-0.08865677
-0.61916554,-0.36364624,0.08444458,-0.2555193
0.54796064,0.5047031,0.07991439,0.043257535
2.4623075,2.4535928,0.23492727,0.008714676
0.090484366,0.06111341,0.052294955,0.029370956
0.31391892,0.31183583,0.07751148,0.002083093
0.2990933,0.09480776,0.16392525,0.20428555
-5.095317,-4.2049136,0.43028435,-0.8904033
0.89649916,0.93841493,0.13105683,-0.041915774
0.43204886,0.27862397,0.07837999,0.15342489
0.12496915,0.34182498,0.20509484,-0.21685582
-0.049438864,-0.13571489,0.10656092,0.086276025
0.39198667,0.30730453,0.059146237,0.08468214
0.3150645,0.14356752,0.09077384,0.17149697
-0.45748693,-0.3263602,0.11153068,-0.13112673
-1.591822,-1.5110581,0.18828332,-0.080763936
-0.7642913,-0.6817846,0.23016497,-0.082506716
0.2881768,0.26524922,0.058389273,0.022927582
-1.9256601,-1.8940089,0.24688502,-0.03165126
-0.48359302,-0.40864623,0.116267584,-0.07494679
-0.102280065,-0.017210405,0.10277657,-0.08506966
0.34041134,0.25399294,0.053272482,0.08641839
0.19672306,0.12603287,0.08787528,0.070690185
-0.53580517,-0.07477497,0.10537498,-0.4610302
0.74044776,0.8384545,0.1358197,-0.098006725
-0.19040029,-0.035143953,0.07644385,-0.15525633
-1.0396633,-0.88794315,0.18706208,-0.15172017
0.18756579,-0.11667119,0.121925,0.30423698
-3.7246203,-3.1389263,0.35250768,-0.5856941
0.08475532,0.27324647,0.06866466,-0.18849115
-0.1059311,0.012855485,0.071172625,-0.11878659
0.28747618,0.12641005,0.07281271,0.16106613
-0.38159442,-0.6644207,0.13253538,0.2828263
-0.6737583,-0.75746465,0.20971903,0.08370632
-0.018482465,-0.10806909,0.0887934,0.08958663
-0.7961428,-1.3872771,0.24570522,0.5911343
-0.12627956,-0.10681181,0.12509902,-0.019467756
-0.027156366,-0.01392191,0.067284025,-0.013234456
0.53159714,0.6461253,0.093086906,-0.11452818
2.446632,2.468279,0.27811435,-0.021646976
-0.7196655,-0.95406985,0.13575655,0.23440433
-0.4546164,-0.30857682,0.17652568,-0.14603958
1.1097343,1.0448501,0.12724003,0.064884186
0.37600437,0.33382043,0.088122636,0.042183936
1.9031649,1.9395887,0.20002371,-0.036423802
0.6252737,0.36644047,0.07819161,0.25883323
0.2573278,0.07387896,0.07903554,0.18344884
-1.1939168,-0.5826052,0.24012488,-0.6113116
-0.48242706,-0.42159575,0.1261274,-0.06083131
0.7871255,0.72493964,0.09387891,0.062185884
0.79321766,0.58387816,0.091909766,0.2093395
0.077982076,-0.062495414,0.092577845,0.1404775
-0.52965003,-0.24656169,0.15020368,-0.28308833
0.32920524,-0.07476335,0.14471371,0.4039686
-0.7047538,-0.79112095,0.20841761,0.08636713
-0.22513375,-0.5107528,0.12530445,0.28561905
-0.53316903,-0.17640118,0.103912234,-0.35676783
0.3794165,0.09165024,0.18609545,0.28776625
1.4323846,1.4411572,0.27406335,-0.008772612
0.25931892,0.1645161,0.07218111,0.09480281
-0.29391423,-0.3453006,0.15098466,0.051386386
0.23266748,0.13224544,0.082711115,0.10042204
0.50336015,0.48501667,0.07229597,0.018343478
-0.32283583,-0.4172428,0.11807647,0.09440696
0.5138848,0.37338763,0.10295605,0.14049715
0.32456055,0.2795822,0.06792784,0.04497835
-0.33686432,-0.3665435,0.07685533,0.02967918
-0.0019558554,0.058053542,0.07000797,-0.060009398
0.7005581,0.52684414,0.07122807,0.17371398
0.38640615,0.3688715,0.059897844,0.017534643
-1.0041304,-0.88026386,0.11673587,-0.1238665
1.2206804,1.1133722,0.11645201,0.10730815
0.7562831,0.8072742,0.104988776,-0.050991118
-0.19401768,-0.26866394,0.083643086,0.074646264
-0.20729809,-0.19586767,0.07781948,-0.0114304125
0.45138073,0.5958987,0.08004284,-0.14451796
0.47744358,0.3434828,0.109451674,0.13396078
-0.3321325,-0.30748314,0.10382288,-0.024649352
-0.5825319,-0.31014827,0.10100529,-0.27238366
0.37001443,0.2022975,0.06925131,0.16771694
-0.0027832985,-0.13449593,0.24337956,0.13171263
0.28664085,0.30288243,0.07402991,-0.01624158
-0.021197818,-0.24326561,0.08324866,0.2220678
15.118102,15.565996,1.6236291,-0.4478941
0.05866405,0.03852717,0.051480763,0.020136882
-1.3108723,-1.446188,0.2899675,0.13531566
-0.16565096,-0.5652132,0.13503769,0.39956224
0.28231785,0.29065982,0.06513084,-0.008341968
-0.14823061,-0.083231926,0.08004599,-0.06499869
-0.5963912,-0.3589593,0.10779939,-0.23743191
0.09695128,0.082055,0.054545008,0.014896281
-0.18181138,-0.2513473,0.13858372,0.069535926
-1.6275089,-0.24635178,0.21449241,-1.3811572
1.6596495,2.0411654,0.2116846,-0.38151586
0.5447497,0.4096069,0.07453228,0.13514277
-0.023675252,-0.06526974,0.066427514,0.041594487
0.22117244,0.12697007,0.070652016,0.09420237
0.36949384,0.30549252,0.22474149,0.06400132
0.33110955,0.21421589,0.077188484,0.116893664
0.1949519,0.12218326,0.09152336,0.07276864
0.21629028,0.2303562,0.06019313,-0.014065921
0.26585606,0.51916033,0.06889329,-0.25330427
-1.2010797,-1.0952418,0.21521576,-0.10583794
-0.07390133,-0.20496537,0.10834915,0.13106403
-4.456469,-3.7825105,0.4295066,-0.67395854
0.3836232,0.26449063,0.061989665,0.11913258
0.23771217,0.19817622,0.10861559,0.039535955
-0.050898604,-0.44549564,0.3163683,0.39459702
0.053307876,0.09597624,0.04333744,-0.042668365
0.06248647,-0.23021387,0.12691775,0.29270035
-0.27551097,-0.17330214,0.082477205,-0.10220882
0.7379657,0.66929203,0.07702291,0.06867367
-0.6692178,-0.42069647,0.12262256,-0.24852136
0.089895256,0.03186835,0.075401254,0.058026906
0.3025981,0.4286483,0.1046785,-0.1260502
0.008538031,0.10689649,0.1760283,-0.09835846
1.2191569,1.2244318,0.13529462,-0.005274892
-0.08401012,-0.09311944,0.098604344,0.009109326
0.7648326,0.6238429,0.13962346,0.14098972
1.4788263,1.3892419,0.14929779,0.08958435
0.4275904,0.33743903,0.0641712,0.09015137
0.03963065,0.04141154,0.07756671,-0.0017808899
-0.21671605,-0.06223533,0.07728583,-0.15448073
-0.23160742,0.52598876,0.11371632,-0.7575962
-0.12170568,0.07201929,0.059077498,-0.19372496
0.108312994,-0.049881723,0.075122945,0.15819472
-3.6267743,-2.5592203,0.2658066,-1.067554
4.228614,4.041599,0.39178714,0.18701506
-0.41209418,0.4148638,0.20835784,-0.82695794
0.14159054,0.08486705,0.0817572,0.056723483
-0.5138088,-0.3584698,0.099973366,-0.15533897
-0.5101758,-0.95076215,0.2240093,0.44058633
-0.48460487,-0.5431448,0.16739017,0.058539957
0.20024855,-0.1616715,0.10570927,0.36192006
-0.48849368,-0.5102972,0.11391217,0.021803498
0.12279183,0.0025686312,0.092802234,0.120223194
0.00058137113,0.05686579,0.1945303,-0.056284416
-0.96174884,-0.7363609,0.18851784,-0.22538793
1.474817,1.4959027,0.17175789,-0.02108562
-0.10678037,-0.5309927,0.09859756,0.4242123
1.8617607,1.8745064,0.20454982,-0.012745619
0.4755991,0.49779204,0.08396941,-0.022192925
0.40183067,0.116351016,0.09514584,0.28547966
-0.62547946,-0.2201561,0.10403007,-0.40532336
-0.4930484,-0.931864,0.1633849,0.43881562
-0.41257334,-0.5591107,0.13468163,0.14653736
-0.16400057,-0.5668103,0.13595703,0.40280974
-0.55937785,-0.17026484,0.12348738,-0.389113
-0.5854817,-0.3880616,0.106322065,-0.19742009
-0.8933107,-0.6453799,0.12825048,-0.24793082
-0.5043698,-0.41301513,0.11465233,-0.09135467
-1.170014,-1.3408701,0.18740502,0.17085612
2.613921,2.5798109,0.23816714,0.03411007
-0.066546164,-0.01684654,0.09365763,-0.049699627
-0.30627647,-0.31928873,0.15781638,0.01301226
-0.4501596,-0.49813128,0.10514276,0.047971666
0.0828805,0.046897233,0.08571955,0.035983264
-0.2111566,-0.27331197,0.124097444,0.062155366
0.68706506,0.6495628,0.16505015,0.03750229
0.25555044,0.26792002,0.06609863,-0.012369573
0.45301366,0.4141825,0.061341166,0.038831145
-0.67752355,-0.2778541,0.1079686,-0.39966944
0.0069420156,-0.05190885,0.054886185,0.058850866
0.61448115,0.5082727,0.07925187,0.10620844
-0.83274496,-0.5087707,0.11731859,-0.32397425
-0.12801962,-0.18953967,0.08488368,0.061520055
-0.5625035,-0.25505227,0.092542596,-0.30745125
-0.92643714,-0.6008163,0.11052397,-0.32562083
0.8137491,0.652472,0.097665414,0.16127706
-0.76970446,-0.894724,0.16701184,0.12501955
-0.21123753,-0.23057163,0.096998535,0.019334093
-0.43698624,-0.3849333,0.090447254,-0.052052945
-0.6713903,-0.35295215,0.061187524,-0.31843814
-0.5924104,-0.277912,0.18908854,-0.3144984
3.6388447,3.4817464,0.35810086,0.1570983
-0.16329205,-0.09679463,0.08933899,-0.06649742
-0.3098236,-0.21297613,0.07726609,-0.096847475
1.3590654,1.3827028,0.16546527,-0.023637414
-0.15667056,-0.10557881,0.123603985,-0.051091745
1.0630177,0.8470916,0.1108779,0.21592611
2.2082114,2.192393,0.23738582,0.015818357
0.8724453,0.88523275,0.10780456,-0.012787461
0.5955196,0.59594953,0.0940235,-0.0004299283
-0.20707452,-0.43191427,0.12618022,0.22483975
1.1617637,0.9044411,0.15055119,0.25732255
0.43026185,0.781204,0.10046065,-0.35094213
-0.5358114,-0.7916199,0.19553122,0.25580847
0.4429371,0.5112802,0.06821394,-0.06834307
0.17399952,0.20638452,0.0862909,-0.032385007
1.0315536,0.9728291,0.11817198,0.058724523
0.29764003,0.18775637,0.073424384,0.10988365
0.49993148,0.5048174,0.06928124,-0.0048859417
0.23642807,-0.27034757,0.21085799,0.5067756
-0.39227438,-0.36318272,0.119952284,-0.029091656
0.6936037,0.64629465,0.07868994,0.04730904
-0.024784891,0.009179131,0.07191118,-0.033964023
0.5069037,0.4347204,0.11941371,0.07218331
0.2511422,-0.015395035,0.06107217,0.26653725
-0.82212096,-0.4943606,0.12986854,-0.32776037
0.047926236,-0.038453333,0.09349609,0.08637957
-0.20584607,0.24152958,0.054135248,-0.44737566
0.13293943,0.0045110206,0.08229842,0.12842841
1.9592125,2.084563,0.2173107,-0.12535048
-0.20470075,-0.30313456,0.08946298,0.09843381
0.011939978,0.071816415,0.16583245,-0.059876435
-0.042108923,0.018893601,0.042804,-0.061002523
-0.38327435,-0.1399723,0.13979067,-0.24330205
0.14582765,-0.044550736,0.07199019,0.19037838
4.543762,4.437142,0.426506,0.10662031
-0.16041817,-0.49571717,0.0978636,0.33529902
0.2556362,0.5964093,0.08059554,-0.34077314
-0.22143173,-0.2021047,0.09827696,-0.01932703
-0.8751524,-0.750753,0.12921028,-0.12439942
-1.8309199,-2.5978947,0.2998561,0.7669748
-2.3375669,-1.9985875,0.28364527,-0.33897936
0.42067915,0.41594332,0.06720331,0.0047358274
1.2318324,0.91605914,0.14176181,0.31577325
0.08073805,-0.23150693,0.12232909,0.31224498
0.26421046,0.07754611,0.10691991,0.18666434
-0.5759353,-0.36144,0.10274633,-0.2144953
-0.81949055,-0.74921095,0.18841015,-0.0702796
0.43745857,0.4106793,0.08647291,0.026779264
-0.45986238,-0.27252743,0.09296213,-0.18733495
-0.21340442,0.12897669,0.08251713,-0.34238112
0.17601548,-0.29488862,0.11912415,0.4709041
1.0188044,1.00521,0.13811517,0.013594389
0.11782966,0.02111805,0.07434677,0.096711606
0.73153794,0.82054144,0.09689141,-0.0890035
0.47069785,0.41450962,0.10257509,0.056188226
-0.49087933,-0.0063018682,0.10212649,-0.48457745
-0.23873858,-0.10361351,0.04805116,-0.13512507
0.2039484,-0.21946716,0.20879914,0.42341554
-0.266559,-0.23621196,0.081039615,-0.03034705
1.145647,1.024942,0.131448,0.12070501
-0.09986322,-0.11838289,0.05931553,0.018519677
0.04005582,-0.2127281,0.08221656,0.25278392
0.052741054,-0.09365647,0.060236547,0.14639753
0.12880407,0.19817488,0.153962,-0.069370806
0.12459008,0.38090017,0.0810385,-0.2563101
-0.16502051,-0.053275842,0.07955344,-0.11174467
0.61757326,0.50733715,0.08699924,0.11023611
0.9682949,1.147825,0.16628888,-0.17953008
-0.20888565,-0.27743015,0.07238042,0.06854449
-0.021368112,-0.058872465,0.09386524,0.037504353
-0.122944616,-0.1405495,0.0828451,0.01760488
1.0523802,0.9449859,0.12140907,0.10739428
0.19649191,0.061823394,0.08038172,0.13466851
0.30715418,0.18012886,0.08134128,0.12702532
-0.031730007,-0.13878497,0.114548296,0.10705496
0.4921991,0.46562406,0.14204967,0.026575029
0.09517245,0.07361182,0.107503206,0.021560632
-0.6047858,-0.6144548,0.13368507,0.009669006
-0.01824103,-0.040984664,0.11671541,0.022743635
1.6851023,1.5506796,0.15289003,0.13442278
1.9692682,1.8678828,0.1916578,0.101385355
0.2555834,0.3159156,0.07513045,-0.06033221
1.5440563,1.5235562,0.18881455,0.020500064
0.41458213,0.23700635,0.085690334,0.17757578
0.27790922,0.20661314,0.08563819,0.07129608
-0.42512557,-0.47804105,0.10136074,0.052915484
-2.5759103,-2.4544675,0.37130877,-0.121442795
-0.2719226,-0.37122402,0.09321909,0.09930143
0.9303266,1.5517015,0.21525098,-0.62137496
0.44776154,0.44506603,0.13768536,0.0026955009
1.9223101,1.8669738,0.18199506,0.055336356
-0.6300794,-0.44446853,0.15518488,-0.18561086
-1.7649617,-1.547595,0.21433012,-0.2173667
-0.23651245,-0.7929348,0.18447225,0.55642235
-0.43441394,-0.5187337,0.1589799,0.08431974
0.07280878,0.024639087,0.0939652,0.048169695
-0.92407066,-0.8950608,0.16665263,-0.029009879
-0.39930663,-0.17650369,0.09005848,-0.22280294
-1.2598948,-0.64479774,0.28785244,-0.6150971
-1.2624124,-1.1368139,0.13301007,-0.12559855
0.52382946,-0.5550391,0.193736,1.0788686
0.35246298,0.10517537,0.06322073,0.2472876
0.18619865,0.1775423,0.07154721,0.008656353
-0.4412977,0.17677826,0.12558283,-0.61807597
0.55203104,0.23804145,0.061633598,0.31398958
2.453037,2.4702358,0.26585403,-0.017198801
-0.15715863,0.11009406,0.0737357,-0.26725268
0.2621999,0.22315766,0.09314578,0.03904225
1.3526745,1.2359349,0.13807218,0.11673963
-0.32361218,-0.22317515,0.09550205,-0.10043703
-0.2943428,0.10325821,0.108748965,-0.397601
-0.30426154,-0.37812206,0.109025985,0.073860526
0.6925463,0.3430336,0.11569458,0.3495127
-1.549734,-1.438505,0.17183442,-0.11122894
-0.2516022,-0.6541811,0.18043579,0.40257892
0.2239042,0.17048489,0.08658957,0.05341932
-4.0143843,-3.3863027,0.32489845,-0.62808156
-0.70436287,-0.64428526,0.12330497,-0.060077608
-0.8500331,-1.8883117,0.25560305,1.0382786
-0.27553618,-0.230771,0.11516734,-0.044765174
-0.2454536,-0.09007809,0.10703678,-0.15537551
0.49723038,0.51994663,0.12689126,-0.022716254
0.74862427,0.66836923,0.094043106,0.08025503
-0.70254713,-0.8706293,0.11948758,0.16808218
-0.5714228,-0.33542386,0.07616281,-0.23599896
0.10909311,0.07244085,0.08929058,0.03665226
0.31552005,0.33125326,0.08421661,-0.015733212
-0.06576144,-0.14335905,0.08265244,0.07759761
-1.8891497,-1.5442061,0.20965415,-0.34494352
-0.0683445,-0.0801128,0.068435505,0.011768296
-0.46634123,-0.5265678,0.121907406,0.06022659
-0.9531076,-0.85088414,0.21338084,-0.102223456
0.42799133,0.4760688,0.09135124,-0.048077464
1.49442,1.3649005,0.16538538,0.12951958
-0.05747824,0.1889414,0.23392473,-0.24641964
-0.7194205,-0.48918188,0.12525469,-0.23023862
2.4662604,2.5645528,0.2368158,-0.09829235
0.026937325,-0.06442195,0.06775622,0.09135927
-0.68860674,-0.4995316,0.11731789,-0.18907514
0.052153308,-0.084505744,0.108472236,0.13665906
0.06684024,-0.32651523,0.07679548,0.39335546
-0.3356153,-0.18600613,0.0584121,-0.14960918
-0.26671478,-0.17151454,0.16826272,-0.09520024
-0.69540906,-0.5055978,0.1542067,-0.18981129
1.5467829,1.4703035,0.22297005,0.076479316
-1.01347,-1.5593029,0.22799687,0.5458329
-1.5628237,-0.93384576,0.15001912,-0.6289779
0.9000472,0.8743724,0.10367701,0.02567476
-1.5129977,-1.9567116,0.32657638,0.4437139
-0.45035237,0.009845926,0.13751629,-0.46019828
-0.8047695,-0.42355672,0.10068642,-0.3812128
0.07568387,0.08908399,0.07605421,-0.0134001225
-0.02250815,0.08243983,0.08352169,-0.104947984
-0.71798146,-0.42865783,0.14009821,-0.28932363
0.61022496,0.55040514,0.069565915,0.059819818
0.33969337,0.20092984,0.07092698,0.13876353
0.31239495,0.25704306,0.06554329,0.055351883
1.0927248,1.0988926,0.13657628,-0.0061677694
0.11285986,0.103142574,0.07300023,0.009717286
0.09512581,0.14260803,0.0580854,-0.047482222
0.008360008,0.04156181,0.066290215,-0.0332018
1.3141576,1.3292753,0.20594746,-0.015117645
